"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","seriea_goalmins","n","seriea_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings","Home_xG","Away_xG","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","I1",2024-04-21,"Torino","Frosinone",0,0,"D",0,0,"D",1.67,3.94,5.4,"0-0","0-0",13,2,12,3,2,2,0,0,6,4,10,17,0,10,27,"6-4","N","N","N",4,0,"Torino-Frosinone","Antonio Rapuano",0,0,0,40,400,0,400,0,0,0,0,0,0,0.6,0.6,0,1,0,0,2,1,0,0,0,10,10,20,10,30,300,148,0,117,0,148,117,265,61,34,34,0,50
"2","I1",2024-04-28,"Inter","Torino",2,0,"H",0,0,"D",1.54,4.12,6.94,"0-0","2-0",17,5,11,3,0,0,0,1,5,4,6,8,2,9,14,"5-4","Y","N","N",0,1,"Inter-Torino","Maria Sole Ferrieri Caputi",116,2,40,25,0,50,225,1000,18,80,360,1044,450,1.7,0.5,0,0,0,0,0,0,0,1,0,0,0,0,25,25,0,0,0,0,98,0,98,98,0,0,0,1,82
"3","I1",2024-05-03,"Torino","Bologna",0,0,"D",0,0,"D",2.86,3.01,2.9,"0-0","0-0",8,1,5,1,2,2,0,0,2,4,14,11,0,6,25,"2-4","N","N","N",4,0,"Torino-Bologna","Simone Sozza",0,0,0,40,400,0,240,0,0,0,0,0,0,0.7,0.2,1,1,0,0,1,1,0,0,10,10,20,10,10,20,400,58,0,65,0,58,65,123,8,13,8,0,38
"4","I1",2024-05-12,"Verona","Torino",1,2,"A",0,0,"D",3.07,3.01,2.56,"0-0","1-2",13,5,6,2,3,2,1,0,7,4,19,15,3,11,34,"7-4","Y","Y","N",5,1,"Verona-Torino","Livio Marinelli",227,3,101,75,1100,225,825,7575,33,303,1111,2497,2475,1.2,0.5,2,0,0,0,1,2,1,0,20,0,20,35,20,55,1100,175,192,186,0,367,186,553,38,93,38,0,118
"5","I1",2024-05-18,"Torino","Milan",3,1,"H",2,0,"H",2.85,3.21,2.66,"2-0","3-1",11,5,16,4,1,1,0,0,3,8,15,14,4,11,29,"3-8","Y","Y","Y",2,0,"Torino-Milan","Ermanno Feliciani",167,4,116,20,100,80,220,2320,44,464,1276,1837,880,0.9,1.9,0,0,0,0,1,1,0,0,0,0,0,10,10,20,0,95,0,78,0,95,78,173,95,78,78,1,113
"6","I1",2024-05-26,"Atalanta","Torino",3,0,"H",2,0,"H",3.54,3.44,2.14,"2-0","3-0",18,7,8,1,1,1,0,0,2,5,18,10,3,7,28,"2-5","Y","Y","N",2,0,"Atalanta-Torino","Simone Sozza",140,3,109,20,100,60,140,2180,21,327,763,980,420,2.6,1.1,0,0,0,0,1,1,0,0,0,0,0,10,10,20,0,77,0,58,0,77,58,135,77,58,58,1,86
"7","I1",2024-04-20,"Empoli","Napoli",1,0,"H",1,0,"H",5.1,4.06,1.68,"1-0","1-0",7,1,9,1,2,2,0,0,2,8,14,12,1,10,26,"2-8","N","N","N",4,0,"Empoli-Napoli","Gianluca Manganiello",4,1,17,40,400,40,400,680,10,17,170,40,400,0.9,0.6,0,1,0,0,2,1,0,0,0,10,10,20,10,30,300,112,0,130,0,112,130,242,54,37,37,0,65
"8","I1",2024-04-28,"Atalanta","Empoli",2,0,"H",1,0,"H",1.45,4.77,7.14,"1-0","2-0",17,5,11,2,1,2,0,0,8,1,19,14,2,9,33,"8-1","Y","N","N",3,0,"Atalanta-Empoli","Michael Fabbri",93,2,19,30,200,60,270,570,18,38,171,837,540,1.9,0.4,0,1,0,0,1,1,0,0,0,10,10,10,10,20,200,81,0,101,0,81,101,182,81,24,24,1,82
"9","I1",2024-05-05,"Empoli","Frosinone",0,0,"D",0,0,"D",2.43,3.26,3.17,"0-0","0-0",7,1,17,5,2,3,0,0,3,8,15,11,0,11,26,"3-8","N","N","N",5,0,"Empoli-Frosinone","Daniele Doveri",0,0,0,50,600,0,550,0,0,0,0,0,0,0.3,1.2,0,1,0,0,2,2,0,0,0,10,10,20,20,40,400,142,0,152,0,142,152,294,68,18,18,0,58
"10","I1",2024-05-12,"Lazio","Empoli",2,0,"H",1,0,"H",1.58,3.95,5.8,"1-0","2-0",11,5,16,3,3,1,0,0,7,7,18,15,2,14,33,"7-7","Y","N","N",4,0,"Lazio-Empoli","Gianluca Aureliano",134,2,9,40,300,80,560,360,28,18,126,1876,1120,1.7,1.2,0,0,0,0,3,1,0,0,0,0,0,30,10,40,0,257,0,73,0,257,73,330,77,73,73,0,92
